2026-05-03 08:08:28,264 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0000', 'round': 1}
2026-05-03 08:16:25,282 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0002', 'round': 1}
2026-05-03 10:14:16,445 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0026', 'round': 1}
2026-05-03 10:14:21,146 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0026', 'round': 1}
2026-05-03 10:14:29,504 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0026', 'round': 1}
2026-05-03 10:17:25,820 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:17:29,436 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:17:36,038 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:18:47,510 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:18:51,633 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:18:58,181 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:19:09,087 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 4/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:19:40,760 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:19:45,172 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:19:51,651 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:20:02,134 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 4/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:20:20,187 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 5/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:20:54,448 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 6/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:21:42,458 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0027', 'round': 1}
2026-05-03 10:27:03,604 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0028', 'round': 1}
2026-05-03 10:27:08,207 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0028', 'round': 1}
2026-05-03 10:27:13,901 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0028', 'round': 1}
2026-05-03 10:27:23,647 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 4/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0028', 'round': 1}
2026-05-03 10:33:35,704 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0029', 'round': 1}
2026-05-03 10:33:39,498 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0029', 'round': 1}
2026-05-03 10:33:45,572 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0029', 'round': 1}
2026-05-03 10:33:55,153 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 4/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0029', 'round': 1}
2026-05-03 10:34:13,473 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 5/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0029', 'round': 1}
2026-05-03 10:45:30,872 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0031', 'round': 1}
2026-05-03 10:45:35,172 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0031', 'round': 1}
2026-05-03 10:45:41,518 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0031', 'round': 1}
2026-05-03 11:25:03,837 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0039', 'round': 1}
2026-05-03 11:25:09,121 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0039', 'round': 1}
2026-05-03 11:25:15,662 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0039', 'round': 1}
2026-05-03 11:25:25,718 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 4/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0039', 'round': 1}
2026-05-03 11:25:43,936 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 5/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0039', 'round': 1}
2026-05-03 11:28:38,457 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0039', 'round': 1}
2026-05-03 11:30:30,496 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0040', 'round': 1}
2026-05-03 11:30:34,489 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0040', 'round': 1}
2026-05-03 11:30:40,911 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0040', 'round': 1}
2026-05-03 11:35:51,163 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0041', 'round': 1}
2026-05-03 11:35:55,472 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0041', 'round': 1}
2026-05-03 11:36:01,064 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0041', 'round': 1}
2026-05-03 11:36:11,644 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 4/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0041', 'round': 1}
2026-05-03 11:36:30,049 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 5/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0041', 'round': 1}
2026-05-03 11:37:04,283 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 6/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0041', 'round': 1}
2026-05-03 11:37:19,450 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0041', 'round': 1}
2026-05-03 18:18:00,832 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0134', 'round': 1}
2026-05-03 18:18:05,739 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0134', 'round': 1}
2026-05-03 18:18:11,675 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0134', 'round': 1}
2026-05-03 18:33:46,735 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0138', 'round': 1}
2026-05-03 18:43:07,682 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0140', 'round': 1}
2026-05-03 18:43:42,829 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0140', 'round': 1}
2026-05-03 18:43:46,808 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0140', 'round': 1}
2026-05-03 18:53:47,668 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0142', 'round': 1}
2026-05-03 18:53:51,493 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0142', 'round': 1}
2026-05-03 18:53:57,940 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 3/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0142', 'round': 1}
2026-05-03 21:34:41,756 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0186', 'round': 1}
2026-05-03 21:34:48,082 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 2/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0186', 'round': 1}
2026-05-03 21:53:06,296 [WARNING] platos_ship.api_failures: OpenRouter error (attempt 1/6): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'google/gemma-3-4b-it is temporarily rate-limited upstream. Please retry shortly, or add your own ke, metadata={'question_id': 'mmlupro_0191', 'round': 1}
